,T_amb,T_sky,I_ver,I_hor,T_219_TR3,T_220_TR3,P_rad_219,P_rad_220,V_flow_219,V_flow_220,T_sup_219,T_sup_220,T_ret_219,T_ret_220,P_rad_219_calc,P_rad_220_calc
2025-02-13 01:00:00+01:00,0.6714285714285714,-6.528571428571429,-0.14285714285714285,0.0,22.178571428571427,22.521428571428572,0.0,0.0,0.0,0.0,21.7,21.7,23.2,23.5,0.0,0.0
2025-02-13 01:15:00+01:00,0.7,-6.5,0.011111111111111112,0.0,22.133333333333333,22.493333333333332,0.0,0.0,0.0,0.0,21.64,21.7,23.12,23.5,0.0,0.0
2025-02-13 01:30:00+01:00,0.6833333333333333,-6.516666666666667,-0.1,0.0,22.1,22.446666666666665,0.0,0.0,0.0,0.0,21.6,21.7,23.1,23.5,0.0,0.0
2025-02-13 01:45:00+01:00,0.5688888888888889,-6.631111111111111,-0.1,0.0,22.093333333333337,22.4,0.0,0.0,0.0,0.0,21.6,21.7,23.1,23.5,0.0,0.0
2025-02-13 02:00:00+01:00,0.5,-6.7,-0.23333333333333334,0.0,22.060000000000002,22.333333333333332,0.0,0.0,0.0,0.0,21.6,21.68,23.1,23.453333333333333,0.0,0.0
2025-02-13 02:15:00+01:00,0.5,-6.7,-0.2,0.0,22.006666666666668,22.3,0.0,0.0,0.0,0.0,21.6,21.6,23.1,23.4,0.0,0.0
2025-02-13 02:30:00+01:00,0.41333333333333333,-6.786666666666666,-0.06666666666666667,0.0,22.0,22.3,0.0,0.0,0.0,0.0,21.6,21.6,23.1,23.4,0.0,0.0
2025-02-13 02:45:00+01:00,0.49,-6.71,-0.03333333333333333,0.0,21.913333333333334,22.226666666666667,0.0,0.0,0.0,0.0,21.586666666666666,21.6,23.053333333333335,23.4,0.0,0.0
2025-02-13 03:00:00+01:00,0.5,-6.7,-0.13333333333333333,0.0,21.9,22.206666666666663,0.0,0.0,0.0,0.0,21.5,21.6,23.0,23.4,0.0,0.0
2025-02-13 03:15:00+01:00,0.4666666666666667,-6.733333333333333,-0.15555555555555553,0.0,21.89333333333333,22.2,0.0,0.0,0.0,0.0,21.5,21.6,23.0,23.4,0.0,0.0
2025-02-13 03:30:00+01:00,0.38333333333333336,-6.816666666666666,-0.13333333333333333,0.0,21.87333333333333,22.153333333333332,0.0,0.0,0.0,0.0,21.5,21.6,23.0,23.4,0.0,0.0
2025-02-13 03:45:00+01:00,0.29,-6.91,-0.3333333333333333,0.0,21.826666666666664,22.113333333333337,0.0,0.0,0.0,0.0,21.5,21.546666666666667,23.0,23.30666666666667,0.0,0.0
2025-02-13 04:00:00+01:00,0.18666666666666668,-7.013333333333334,-0.41111111111111115,0.0,21.8,22.1,0.0,0.0,0.0,0.0,21.5,21.5,23.0,23.3,0.0,0.0
2025-02-13 04:15:00+01:00,0.1,-7.1000000000000005,-0.8333333333333334,0.0,21.8,22.060000000000002,0.0,0.0,0.0,0.0,21.5,21.5,22.98,23.3,0.0,0.0
2025-02-13 04:30:00+01:00,0.06666666666666667,-7.133333333333334,-0.6666666666666666,0.0,21.766666666666666,22.006666666666668,0.0,0.0,0.0,0.0,21.439999999999998,21.5,22.9,23.3,0.0,0.0
